City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Bandarbeyla,SO,81.27,broken clouds,9.4942,50.8122,JABIR HOTEL
10,Kahului,US,87.82,clear sky,20.8947,-156.47,Maui Seaside Hotel
12,Butaritari,KI,82.15,broken clouds,3.0707,172.7902,Isles Sunset Lodge
16,Vaini,TO,82.56,scattered clouds,-21.2,-175.2,Keleti Beach Resort
20,Cockburn Town,TC,80.56,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
21,Atuona,PF,77.92,light rain,-9.8,-139.0333,Villa Enata
26,Rikitea,PF,75.51,light rain,-23.1203,-134.9692,People ThankYou
29,Hithadhoo,MV,83.77,overcast clouds,-0.6,73.0833,Scoop Guest House
30,Tuy Hoa,VN,80.04,overcast clouds,13.0833,109.3,CenDeluxe Hotel Tuy Hoa
35,Hobyo,SO,80.08,overcast clouds,5.3505,48.5268,Iftin hotel hobyo
38,Roebourne,AU,77.41,overcast clouds,-20.7833,117.1333,Latitude20 Roebourne Village
40,Lorengau,PG,85.82,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
42,Malindi,KE,78.87,broken clouds,-3.2175,40.1191,African House Resort
43,Ixtapa,MX,80.22,clear sky,20.7,-105.2,hotel la terminal
45,Bengkulu,ID,76.1,scattered clouds,-3.8004,102.2655,Grage Hotel Bengkulu
49,Kavieng,PG,84.63,scattered clouds,-2.5744,150.7967,Nusa Island Retreat
52,Kapaa,US,80.11,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
55,Bambous Virieux,MU,75.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
58,Mitsamiouli,KM,78.42,light rain,-11.3847,43.2844,Foyer ADM
59,Isangel,VU,84.31,scattered clouds,-19.55,169.2667,Tanna Lodge
62,Cabo San Lucas,MX,83.61,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
63,Camocim,BR,76.06,scattered clouds,-2.9022,-40.8411,Ilha Praia Hotel
64,Stephenville,US,77.16,clear sky,32.2207,-98.2023,La Quinta Inn & Suites by Wyndham Stephenville
65,Monitos,CO,79.11,broken clouds,8.25,-76.05,Finca Aleman Gonzalez
67,Avanigadda,IN,87.78,few clouds,16.0215,80.9181,AP Camping
69,Sibolga,ID,77.43,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
72,Qui Nhon,VN,80.04,overcast clouds,13.7667,109.2333,Khách sạn Hải Âu Quy Nhơn - Seagull Hotel
76,Japura,ID,75.85,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
77,Vao,NC,75.11,broken clouds,-22.6667,167.4833,Hotel Kou-Bugny
78,George Town,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
79,Cayenne,GF,82.09,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
81,Karratha,AU,77.72,light rain,-20.7377,116.8463,ibis Styles Karratha
84,Bethel,US,80.47,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
86,Thayetmyo,MM,82.08,scattered clouds,19.3167,95.1833,Htarwaya Thitsar Guest House
92,Atambua,ID,79.05,few clouds,-9.1061,124.8925,Kost Alfa Flat
102,Riachao Das Neves,BR,76.64,broken clouds,-11.7461,-44.91,Casa Costa
116,Dicabisagan,PH,83.1,light rain,17.0818,122.4157,Nancy Montanes Bernardo
126,Avarua,CK,84.25,broken clouds,-21.2078,-159.775,Paradise Inn
128,Jobner,IN,87.22,clear sky,26.9667,75.3833,Guest House
134,Tautira,PF,79.65,light rain,-17.7333,-149.15,Pension Oaoa
139,Puerto Madero,MX,83.41,scattered clouds,14.7208,-92.4215,DEPARTAMENTOS LA ESTANCIA
149,Abu Dhabi,AE,82.42,clear sky,24.4667,54.3667,Beach Rotana
153,Georgetown,MY,80.53,few clouds,5.4112,100.3354,Cititel Penang
158,Lufilufi,WS,87.58,light rain,-13.8745,-171.5986,Leuaina Beach Resort and Spa
159,Pilar,BR,75.13,clear sky,-9.5972,-35.9567,Pousada e churrascaria Manguaba
160,Srandakan,ID,78.31,broken clouds,-7.9386,110.2506,Puri Brata
163,Juigalpa,NI,76.91,scattered clouds,12.1063,-85.3645,Ethos Inn
166,Grand Gaube,MU,75.6,clear sky,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
171,Mahebourg,MU,75.49,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
174,Wajid,SO,76.42,overcast clouds,3.8093,43.2471,xamdihotelresturant114
178,Belawan,ID,77.29,overcast clouds,3.7755,98.6832,Rumah Mamak Bapak M.Radial
199,Gizo,SB,83.52,few clouds,-8.103,156.8419,Imagination Island
206,Souillac,MU,75.58,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
213,Monrovia,LR,76.98,moderate rain,6.3005,-10.7969,Sunset Inn
217,Bozhou,CN,75.72,clear sky,33.8772,115.7703,Haitian Hotel
223,San Patricio,US,86.72,overcast clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
224,Kampong Thum,KH,75.15,overcast clouds,12.7111,104.8887,Sambor Village Hotel
227,Puerto Carreno,CO,78.84,moderate rain,6.189,-67.4859,Casa Hotel Victoria
228,Grafton,US,80.51,overcast clouds,42.207,-71.6856,The Grafton Inn
234,Ugoofaaru,MV,83.12,broken clouds,5.6667,73.0,Ungoofaaru Inn
254,Westport,US,81.28,scattered clouds,41.1415,-73.3579,The Westport Inn
259,Amahai,ID,81.93,overcast clouds,-3.3333,128.9167,HOTEL ISABELA
273,Lalsot,IN,85.91,clear sky,26.5667,76.3333,Sharma Hotel
274,Chodavaram,IN,80.44,few clouds,17.8333,82.95,Ganesh Defence Academy chodavadaram hostel
275,Alyangula,AU,83.28,broken clouds,-13.8483,136.4192,Groote Eylandt Lodge
279,Matara,LK,78.53,broken clouds,5.9485,80.5353,Amaloh Boutique Resort
282,Mancio Lima,BR,78.87,scattered clouds,-7.6142,-72.8958,Motel Asas Do Desejo
283,Saint George,US,87.64,overcast clouds,37.1041,-113.5841,Best Western Plus Abbey Inn
285,Kupang,ID,81.95,broken clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
287,Kalmunai,LK,79.09,few clouds,7.4167,81.8167,VS Villa
288,San Cristobal,VE,77.18,clear sky,7.7669,-72.225,Pirineos
289,Bintulu,MY,75.61,few clouds,3.1667,113.0333,900 Boutique INN
298,Hilo,US,86.29,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
299,Guanica,PR,81.12,overcast clouds,17.9716,-66.908,Copamarina Beach Resort & Spa
306,Kaduqli,SD,83.77,overcast clouds,11.0167,29.7167,Nussyba
310,Tutoia,BR,76.91,overcast clouds,-2.7619,-42.2744,Pousada Guará's
313,Touros,BR,75.7,few clouds,-5.1989,-35.4608,INN NEW HORIZON
325,Ramhormoz,IR,86.83,clear sky,31.28,49.6035,کافی نت کاریزما
331,Lubao,PH,80.31,overcast clouds,14.9167,120.55,Hacienda Gracia
332,Pandan,PH,82.81,overcast clouds,14.0453,124.1694,Bonifacio Lodge
336,Temerloh,MY,76.84,overcast clouds,3.4483,102.4176,U Design Hotel Temerloh
337,Pizarro,CO,79.36,moderate rain,4.9533,-77.366,Hotel Limonar
338,San Angelo,US,81.9,clear sky,31.4638,-100.437,"Motel 6 San Angelo, TX"
342,Majene,ID,80.28,overcast clouds,-3.5403,118.9707,Kost Putri RABBANI
345,Atar,MR,88.45,scattered clouds,20.5169,-13.0499,Oumou Elghoura
346,Kieta,PG,85.21,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
351,Innisfail,AU,75.02,broken clouds,-17.5333,146.0333,Moondarra Motel
