City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Kaitangata,NZ,2022-05-22 23:47:32,-46.2817,169.8464,50.14,70,97,16.51,overcast clouds
1,Bandarbeyla,SO,2022-05-22 23:45:19,9.4942,50.8122,81.27,78,82,16.6,broken clouds
2,Haines Junction,CA,2022-05-22 23:47:33,60.7522,-137.5108,60.75,21,100,10.36,overcast clouds
3,Castro,BR,2022-05-22 23:47:33,-24.7911,-50.0119,49.14,81,28,2.57,scattered clouds
4,Marawi,PH,2022-05-22 23:47:33,7.9986,124.2928,71.51,90,100,1.66,overcast clouds
5,Tasiilaq,GL,2022-05-22 23:47:34,65.6145,-37.6368,35.76,99,100,10.22,moderate rain
6,Vila Franca Do Campo,PT,2022-05-22 23:47:34,37.7167,-25.4333,68.2,95,94,2.42,overcast clouds
7,Qaanaaq,GL,2022-05-22 23:45:09,77.484,-69.3632,27.1,78,100,4.88,overcast clouds
8,Yellowknife,CA,2022-05-22 23:45:21,62.456,-114.3525,37.92,65,100,8.05,light snow
9,Owando,CG,2022-05-22 23:44:43,-0.4819,15.8999,72.0,97,100,0.85,moderate rain
10,Kahului,US,2022-05-22 23:45:13,20.8947,-156.47,87.82,40,0,18.41,clear sky
11,Puerto Narino,CO,2022-05-22 23:47:35,-3.7703,-70.3831,72.7,97,97,2.64,overcast clouds
12,Butaritari,KI,2022-05-22 23:45:36,3.0707,172.7902,82.15,78,53,12.62,broken clouds
13,Timberlake,US,2022-05-22 23:47:36,37.3207,-79.2575,73.99,90,20,4.61,few clouds
14,Mataura,NZ,2022-05-22 23:44:52,-46.1927,168.8643,47.52,76,88,7.94,overcast clouds
15,Tuktoyaktuk,CA,2022-05-22 23:45:23,69.4541,-133.0374,23.0,74,100,8.05,overcast clouds
16,Vaini,TO,2022-05-22 23:45:23,-21.2,-175.2,82.56,83,40,8.05,scattered clouds
17,Madimba,TZ,2022-05-22 23:47:37,-10.4,40.3333,72.9,91,7,6.85,clear sky
18,Gat,IL,2022-05-22 23:47:37,31.61,34.7642,66.88,100,1,9.78,clear sky
19,Bonavista,CA,2022-05-22 23:47:38,48.6499,-53.1147,51.01,76,88,14.83,overcast clouds
20,Cockburn Town,TC,2022-05-22 23:47:38,21.4612,-71.1419,80.56,69,40,17.27,scattered clouds
21,Atuona,PF,2022-05-22 23:45:24,-9.8,-139.0333,77.92,79,28,17.74,light rain
22,New Norfolk,AU,2022-05-22 23:45:25,-42.7826,147.0587,52.92,68,63,1.59,broken clouds
23,Prabumulih,ID,2022-05-22 23:47:39,-3.45,104.25,74.3,98,83,1.95,broken clouds
24,Safford,US,2022-05-22 23:47:39,32.834,-109.7076,90.52,9,0,0.0,clear sky
25,Qaqortoq,GL,2022-05-22 23:47:40,60.7167,-46.0333,32.74,97,89,6.15,overcast clouds
26,Rikitea,PF,2022-05-22 23:45:26,-23.1203,-134.9692,75.51,78,13,14.38,light rain
27,Bilibino,RU,2022-05-22 23:47:40,68.0546,166.4372,49.59,54,85,7.09,overcast clouds
28,Ushuaia,AR,2022-05-22 23:43:44,-54.8,-68.3,33.46,80,0,0.0,clear sky
29,Hithadhoo,MV,2022-05-22 23:45:26,-0.6,73.0833,83.77,71,98,13.2,overcast clouds
30,Tuy Hoa,VN,2022-05-22 23:47:41,13.0833,109.3,80.04,78,100,10.65,overcast clouds
